EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,BusinessTravel,OverTime,DistanceFromHome,MonthlyIncome,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,TrainingTimesLastYear,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
EMP-1405,27,Female,Single,Research and Development,Research Scientist,Entry,Rare,Yes,17,47900,13,None,High,Very High,High,High,Meets expectations,2,1,8,8,2,7,Yes
EMP-0485,33,Female,Single,Sales,Sales Representative,Entry,Rare,Yes,5,57000,13,None,High,Very High,High,High,Meets expectations,2,1,1,1,0,0,Yes
EMP-0171,43,Female,Single,Research and Development,Research Scientist,Entry,Frequent,No,28,94800,12,None,High,Medium,High,Very High,Meets expectations,2,4,18,3,2,1,No
EMP-1683,44,Female,Divorced,Human Resources,Human Resources,Entry,Rare,Yes,1,63900,18,Premium,Very High,High,High,High,Meets expectations,2,4,8,2,2,2,No
EMP-1970,33,Male,Divorced,Research and Development,Healthcare Representative,Junior,Frequent,No,7,119400,20,Premium,High,Very High,High,High,Exceeds expectations,2,1,9,9,7,2,No
EMP-0771,35,Female,Divorced,Research and Development,Healthcare Representative,Junior,None,No,2,101900,11,Basic,Low,Very High,Very High,High,Meets expectations,2,2,16,1,0,0,No
EMP-1219,24,Female,Married,Research and Development,Laboratory Technician,Entry,Rare,No,17,44200,13,Basic,Medium,Very High,Low,High,Meets expectations,3,1,1,1,0,0,Yes
EMP-1193,19,Male,Single,Research and Development,Research Scientist,Entry,Rare,No,9,51000,25,None,Low,High,High,High,Exceeds expectations,4,1,1,1,1,0,No
EMP-0622,26,Male,Single,Research and Development,Laboratory Technician,Entry,Rare,Yes,24,46800,18,None,Very High,High,Low,Low,Meets expectations,3,1,1,1,0,0,Yes
EMP-1554,35,Female,Married,Sales,Sales Representative,Entry,Rare,No,28,48600,23,Standard,High,Medium,High,Medium,Exceeds expectations,5,0,6,5,3,4,No
EMP-1412,35,Male,Single,Research and Development,Manufacturing Director,Mid,Frequent,No,18,187200,11,None,Very High,High,High,High,Meets expectations,2,2,10,2,2,2,No
EMP-1150,29,Male,Married,Research and Development,Manufacturing Director,Junior,Rare,Yes,8,101100,15,Basic,Very High,Medium,Medium,Medium,Meets expectations,2,1,10,10,7,1,No
EMP-0468,42,Female,Single,Research and Development,Research Director,Senior,Rare,No,23,319800,14,None,Very High,Low,High,High,Meets expectations,2,2,16,1,0,0,No
EMP-1865,29,Male,Married,Human Resources,Human Resources,Entry,Rare,No,6,56100,11,None,Medium,Very High,High,Medium,Meets expectations,3,1,1,1,0,0,No
EMP-0142,25,Male,Single,Sales,Sales Executive,Junior,Rare,Yes,5,114900,11,None,High,High,High,Medium,Meets expectations,1,1,6,6,4,0,Yes
EMP-1026,39,Female,Married,Research and Development,Manufacturing Director,Senior,Rare,No,1,254800,16,Basic,Very High,Very High,High,Medium,Meets expectations,3,1,21,21,6,11,No
EMP-0362,32,Male,Single,Research and Development,Laboratory Technician,Junior,Rare,No,2,43500,13,None,Low,Very High,High,Medium,Meets expectations,5,4,9,6,2,0,No
